#discharge_rate, acoustic_power
5.930566653827796, 0.00022923389751166624
6.55759380515202, 0.00045683816322649546
7.147737006398344, 0.0006828781384553115
7.7255855576187145, 0.0008844108960699313
8.21737155865732, 0.0010639784081101244
8.770630809825754, 0.001272224579060548
9.590274144890095, 0.0014701507780546384
10.348444229824615, 0.001661341837456175
11.260297440083697, 0.0018412352433476206
12.257840635372233, 0.0020353494718391802
13.12293691901742, 0.0022064970718315554
14.672062822289028, 0.0023967163750220847
16.700680076573285, 0.0025231236870231002
18.729297330857534, 0.0026070265403637747
20.75791458514179, 0.0026440006791240717
22.78653183942604, 0.0026312019387839686
24.815149093710296, 0.0025822349062975753
26.843766347994546, 0.0025020294668329306
28.872383602278795, 0.0024065129417021633
30.90100085656305, 0.002306967183501363
32.9296181108473, 0.0022202201656406663
34.95823536513156, 0.002127784818739923
36.98685261941581, 0.0020502813355693004
39.01546987370006, 0.0019798882636987347
41.04408712798432, 0.0019158945619982203
43.07270438226856, 0.0018661216828978204
45.10132163655282, 0.0018312806675275404
47.129938890837074, 0.0017985727755472775
49.15855614512132, 0.0017772415416471062
51.18717339940557, 0.0017637317601769977
53.21579065368983, 0.001763020719046992
55.244407907974086, 0.001763020719046992
57.27302516225833, 0.001763020719046992
59.301642416542585, 0.0017626651984819892
61.33025967082684, 0.001763020719046992
63.3588769251111, 0.0017758194593870946
65.38749417939533, 0.0017786636239071176
67.41611143367959, 0.0017786636239071176
69.44472868796385, 0.001777952582777112
71.4733459422481, 0.001779730185602126
73.50196319653236, 0.0017815077884271405
75.53058045081661, 0.0018199040094474491
77.28256807951664, 0.0018617665559765356
